id,name,price,cookingTime,iconUrl,category,hiddenCategory,description
string,string,number,number,string,string,string,string
doria,ミラノ風ドリア,30,0,https://img.icons8.com/fluency/48/rice-bowl.png,main,,
sausage_pizza,ソーセージピッツァ,10,0,https://img.icons8.com/fluency/48/pizza.png,main,,
pizza,マルゲリータ,25,0,https://img.icons8.com/fluency/48/pizza.png,main,,
pudding,イタリアンプリン,10,0,https://img.icons8.com/fluency/48/dessert.png,dessert,,
chicken,辛辛チキン,5,0,https://img.icons8.com/fluency/48/fried-chicken.png,snack,,
shrimp_salad,エビのサラダ,10,0,https://img.icons8.com/fluency/48/salad.png,snack,,
gelato,ピッケジェラート,20,0,https://img.icons8.com/fluency/48/ice-cream-cone.png,dessert,,
nonalc_beer,ノンアルビール,30,0,https://img.icons8.com/fluency/48/beer.png,snack,,
decanter,デキャンタ大,50,0,https://img.icons8.com/fluency/48/wine-glass.png,snack,,
